模型,训练RMSE,测试RMSE,训练MAE,测试MAE,训练R²,测试R²,CV RMSE均值,CV RMSE标准差
Linear Regression,799.7749984157277,1166.0203347983113,608.8912998964597,863.8615401333813,0.7997770552092014,0.6131116217584454,1308.3768239580763,323.73527385697935
Decision Tree,591.9895964734952,1207.6988504327344,433.16081127123533,954.6919888501521,0.8903000710274416,0.5849592480665373,1301.002551095146,547.5773617015034
XGBoost,180.17750037289616,1038.501564755682,132.7727508544922,849.8436279296875,0.9898380041122437,0.693106472492218,1177.5518798828125,448.42076092284094
